IDAtributoQuestionario;IDIndicadorEspecificoQuestionario;DSAtributoQuestionario;NOAtributoQuestionario;NRPeso
340;74;Atende duas das opções listadas.;N3;0,928956092
341;74;Atende uma das opções listadas.;N2;0,268842915
342;74;Não atende nenhuma das opções listadas.;N1;0
344;75;Atende todas as opções listadas.;N3;0,978458281
345;75;Atende uma ou duas das opções listadas.;N2;0,356035959
346;75;Não atende nenhuma das opções listadas.;N1;0
347;76;A instalação portuária possui Licença de Operação válida e vigente.;N3;15,07224371
348;76;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,897060654
349;76;A instalação portuária não possui Licença de Operação.;N1;0
354;77;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;4,23787275
355;77;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;2,305298777
356;77;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
357;78;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;2,090917833
358;78;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,551023849
359;78;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
361;79;A auditoria ambiental foi realizada até dois anos atrás.;N3;6,440173894
362;79;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,697192185
363;79;Nunca foi realizada auditoria ambiental.;N1;0
364;80;Existe banco de dados com atualização mínima semestral.;N3;1,965496457
365;80;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,517971297
366;80;Não existe banco de dados.;N1;0
367;81;Atende todos os planos/programas listados abaixo.;N5;13,15768092
368;81;Atende quatro dos planos/programas listados abaixo.;N4;7,580995149
369;81;Atende três dos planos/programas listados abaixo.;N3;4,164002384
370;81;Atende dois dos planos/programas listados abaixo.;N2;1,205075837
371;81;Atende um dos planos/programas listados abaixo.;N1;0
373;82;Nenhum acidente ambiental.;N5;4,404092577
374;82;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,62621382
375;82;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,907212364
376;82;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,191263223
377;82;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
378;83;Atende todas as opções listadas.;N5;11,0549169
379;83;Atende três das opções listadas.;N4;6,369456131
380;83;Atende duas das opções listadas.;N3;3,498542077
381;83;Atende uma das opções listadas.;N2;1,01248946
382;83;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
385;84;Atende todas as opções listadas.;N3;1,773439708
386;84;Atende duas das opções listadas.;"N2 ";0
387;84;Não atende qualquer das opções listadas.;N1;0
388;85;Sim, utilizada em atividades operacionais e administrativas.;N3;0,53062068
389;85;Sim, utilizada somente em atividades administrativas.;N2;0,193079303
390;85;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
391;86;Dispõe de sistema OPS.;N3;0,211685277
392;86;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,087405917
393;86;Não possui sistema OPS.;N1;0
395;87;"Atende todas as opções listadas. ";N5;7,179028756
396;87;Atende três das opções listadas.;N4;3,696632787
397;87;Atende duas das opções listadas.;N3;1,691036524
398;87;Atende uma das opções listadas.;N2;0,589402064
399;87;Não atende nenhuma das opções listadas.;N1;0
400;88;Mais de 22 dos itens listados.;N5;0,364069808
401;88;De 18 a 22 dos itens listados.;N4;0,246927647
402;88;De 12 a 17 dos itens listados.;N3;0,10785806
403;88;De 7 a 11 dos itens listados.;N2;0,034126117
404;88;Até 6 dos itens listados.;N1;0
405;89;Há agenda ambiental local e há ações de implantação.;N3;1,783570522
406;89;Há agenda ambiental local, mas não há ações de implantação.;N2;0,238245778
407;89;Não foi elaborada agenda ambiental local.;N1;0
408;90;Há agenda ambiental institucional e há ações de implantação.;N3;0,958285627
409;90;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,128005875
410;90;Não foi elaborada agenda ambiental institucional.;N1;0
411;91;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,677610265
412;91;A instalação portuária possui uma certificação voluntária.;N4;0,259181098
413;91;Há certificação voluntária em processo de desenvolvimento.;N3;0,072105206
414;91;Há planejamento formal para requisição de certificação voluntária.;N2;0,027957791
415;91;Não atende a nenhuma das opções acima.;N1;0
416;92;Atende todas as opções listadas.;N3;4,956450125
417;92;Atende duas das opções listadas;N2;1,306183429
418;92;Atende uma das opções listadas.;N1;0
420;93;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;0,826075021
421;93;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
422;93;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
423;93;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
424;93;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
425;94;Atende todas as opções listadas.;N5;1,652150042
426;94;Atende três das opções listadas.;N4;1,019351309
427;94;Atende duas das opções listadas.;N3;0,413807633
428;94;Atende uma das opções listadas.;N2;0,107102375
429;94;Não atende nenhuma das opções listadas.;N1;0
431;95;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
432;95;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
433;95;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
434;95;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
435;95;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
436;96;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
437;96;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
438;96;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
439;96;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
440;96;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
441;97;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
442;97;Há controle das ações.;N2;0,232161534
443;97;Não há controle das ações.;N1;0
444;98;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
445;98;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
446;98;Não há monitoramento ambiental das dragagens.;N1;0
447;99;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
448;99;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
449;99;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
450;99;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
451;99;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
452;100;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
453;100;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
454;100;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
455;100;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
456;100;Não atende a nenhuma das opções acima.;N1;0
457;101;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
458;101;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
459;101;Não atende a nenhuma das opções anteriores.;N1;0
461;102;O porto atende todas as opções listadas.;N5;7,964752347
462;102;Atende três das opções listadas.;N4;4,589011489
463;102;Atende duas das opções listadas.;N3;2,52059979
464;102;Atende uma das opções listadas.;N2;0,72946978
465;102;Não atende nenhuma das opções listadas.;N1;0
466;103;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
467;103;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
468;103;Não atende a nenhuma das opções anteriores.;N1;0
470;104;Atende todas as opções listadas.;N5;2,935374843
471;104;Atende três das opções listadas.;N4;1,691260229
472;104;Atende duas das opções listadas.;N3;0,928956092
473;104;Atende uma das opções listadas.;N2;0,268842915
474;104;Não atende nenhuma das opções listadas.;N1;0
476;105;Atende todas as opções listadas.;N3;0,978458281
477;105;Atende uma ou duas das opções listadas.;N2;0,356035959
478;105;Não atende nenhuma das opções listadas.;N1;0
479;106;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
480;106;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
481;106;A instalação portuária não possui Licença de Operação.;N1;0
486;107;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
487;107;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
488;107;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
489;108;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;1,746619828
490;108;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,460290292
491;108;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
493;109;A auditoria ambiental foi realizada até dois anos atrás.;N3;5,379711836
494;109;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,417726452
495;109;Nunca foi realizada auditoria ambiental.;N1;0
